"id","id_model","prevozeni_kilometri","gorivo","velikost_motorja","kW","cena","zacetna_cena"
399,98,27898,"bencinski",1199,96,13950,10462
400,101,130000,"diesel",1997,110,11900,8925
401,98,101800,"diesel",1997,110,9490,7118
402,96,235800,"diesel",1560,80,3150,2362
403,98,199000,"bencinski",1598,110,3490,2618
404,99,129896,"diesel",1997,103,11990,8992
405,101,111002,"diesel",1560,84,10650,7988
406,102,155230,"diesel",1560,68,8770,6578
407,101,199842,"diesel",1560,84,6750,5062
408,97,264700,"diesel",1997,79,1550,1162
409,102,87000,"diesel",1560,68,9800,7350
410,98,66000,"bencinski",1598,88,6370,4778
411,98,130000,"diesel",1997,110,10200,7650
412,99,208532,"diesel",1997,103,6935,5201
413,99,120000,"diesel",1560,84,10550,7912
414,103,97000,"bencinski",1360,54,2300,1725
415,97,255742,"diesel",1560,80,3190,2392
416,101,188500,"diesel",1560,84,6990,5242
417,104,130308,"bencinski",998,50,2990,2242
418,105,206884,"diesel",2179,115,6900,5175
419,105,212410,"diesel",2179,115,6500,4875
420,99,125000,"diesel",1997,110,12500,9375
421,106,144589,"diesel",1560,84,9890,7418
422,103,187000,"diesel",1398,50,2700,2025
423,99,234000,"diesel",1560,84,7650,5738
424,103,139234,"bencinski",1360,54,3990,2992
425,98,135000,"diesel",1560,82,9990,7492
426,97,261000,"diesel",1997,79,1090,818
427,98,136000,"diesel",1560,73,8600,6450
428,100,157000,"bencinski",1587,80,2450,1838
429,100,69000,"bencinski",1360,55,2490,1868
430,103,107000,"bencinski",1360,54,4950,3712
431,100,263187,"diesel",1398,50,1790,1342
432,106,75000,"diesel",1560,84,11690,8768
433,107,213000,"bencinski",1598,82,1550,1162
434,108,57826,"bencinski",1149,54,7990,5992
435,108,121900,"diesel",1461,55,6390,4792
436,108,73610,"bencinski",1149,55,1800,1350
437,109,99300,"bencinski",898,66,9200,6900
438,107,220000,"diesel",1461,81,3300,2475
439,107,153182,"bencinski",1390,72,2100,1575
440,107,300000,"diesel",1870,88,1300,975
441,109,16600,"bencinski",1197,87,11000,8250
442,110,165000,"diesel",1461,60,1850,1388
443,111,177000,"diesel",1870,85,1170,878
444,108,156000,"diesel",1461,60,1300,975
445,112,67500,"bencinski",1149,56,2890,2168
446,108,193000,"bencinski",1149,43,1190,892
447,108,116000,"bencinski",1598,94,4990,3742
448,110,211230,"diesel",1461,62,2900,2175
449,113,230000,"diesel",1461,78,1850,1388
450,114,128741,"diesel",1598,118,19990,14992
451,112,56700,"bencinski",1149,43,3890,2918
452,108,156100,"diesel",1461,48,1350,1012
453,108,191000,"bencinski",1390,72,1050,788
